seller_id,seller_zip_code_prefix,seller_city,seller_state,first_name,family_name,status,salary
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,Peter,Lopez,top management,68500
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,Eric,Nolan,junior,92636
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,Linda,Thomas,junior,64414
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,Joseph,Williams,junior,93151
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,Robert,Farmer,senior,82608
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,Todd,Powell,junior,79297
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,Lisa,Gibson,top management,109255
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,Julia,Davis,manager,51424
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,Tina,Franco,manager,51586
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,Patricia,Andersen,senior,104340
8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,Deborah,Cowan,top management,127982
a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,Ryan,Gordon,manager,70671
8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,Daniel,Ramirez,junior,83061
05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,Brooke,Dominguez,top management,122660
7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,Jonathan,Cabrera,senior,93872
1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,Linda,Lester,senior,96785
166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,Larry,Martin,manager,59548
e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,John,Williams,top management,99775
d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,Gregory,Steele,manager,86759
f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,Alyssa,Evans,senior,106330
4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,Joshua,Day,top management,66176
4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,Charles,Hudson,manager,68319
f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,Robert,Walker,top management,71021
2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,Bryan,Vincent,manager,63321
8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,Alyssa,Williams,top management,129927
2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,Ryan,Weeks,top management,78945
2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,Darin,George,manager,60151
116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,Travis,Lara,junior,129355
430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,James,Harris,junior,51471
406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,Brian,Rubio,senior,72885
4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,Mark,Lee,senior,92053
e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,Elizabeth,Lang,junior,113011
d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,Michael,Brown,senior,96207
d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,James,Pearson,junior,71263
9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,Jorge,Ashley,senior,108757
1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,Martin,Mcmahon,top management,96359
1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,Joshua,Watts,top management,100134
d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,Jessica,Francis,junior,50178
ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,Meghan,Freeman,senior,129426
b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,Donald,White,manager,128939
d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,Kathy,Pitts,senior,50705
768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,Brittney,Mason,top management,75644
a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,Adam,Carrillo,senior,92601
5c030029b5916fed0986310385ec9009,88075,sao jose,SC,Juan,Price,senior,55058
c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,Michael,Carter,top management,114760
c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,Patricia,Norton,manager,106802
8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,Crystal,Joyce,manager,59719
28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,Sharon,Ross,senior,100842
41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,Maria,Mitchell,senior,87330
8759e7aedd644f487315e5860962f162,9251,santo andre,SP,Hayden,Aguilar,junior,70486
e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,Donna,Lara,top management,115803
